"LEA_STATE_NAME","TOT_RET_G12_M","SCH_SAL_TOTPERS_WOFED","SCH_FTE_TEACH_WOFED","SCH_SAL_TEACH_WOFED","SCH_NPE_WOFED","SCH_FTE_AID_WOFED","SCH_SAL_AID_WOFED","SCH_FTE_SUP_WOFED","SCH_SAL_SUP_WOFED","SCH_FTE_ADM_WOFED","SCH_SAL_ADM_WOFED","SCH_SAL_TEACH_WFED","SCH_FTE_AID_WFED","SCH_SAL_AID_WFED","SCH_FTE_SUP_WFED","SCH_SAL_SUP_WFED","SCH_FTE_ADM_WFED","SCH_SAL_ADM_WFED","SCH_SAL_TOTPERS_WFED","SCH_NPE_WFED","SCH_FTETEACH_TOT","SCH_FTETEACH_CERT","SCH_FTETEACH_NOTCERT","SCH_FTETEACH_FY","SCH_FTETEACH_SY","SCH_TEACHERS_CURR_TOT","SCH_TEACHERS_PREV_TOT","SCH_FTECOUNSELORS","SCH_FTETEACH_ABSENT","SCH_FTESECURITY_LEO","SCH_FTESECURITY_GUA","SCH_FTESERVICES_NUR","SCH_FTESERVICES_PSY","SCH_FTESERVICES_SOC"
"ALABAMA",0,2878638.53,26.5,1844707.63,223759.14,5,150510.46,4,244623.72,4.53,328541.09,1904778.16,5,150510.46,4,244623.72,4.53,328541.09,1652671.47,225572.01,28,27,1,1,1,29,25,1.5,11,0.5,0,1,0,0
"ALABAMA",2,3204835.62,31.5,2146004.03,165374.29,8,239316.46,4,267391.48,5,342483.68,2507319.93,8,239316.46,4,267391.48,5,342483.68,2857606.45,331588.69,35.35,35.35,0,1,2,35,34,2,13,0.5,0,1,0,0
"ALABAMA",4,902703,16,726703,279707,0,0,2.5,36000,2,140000,776703,0,0,2.5,36000,2,140000,952703,282707,33,33,0,1,1,17,17,1,6,0.2,0,0.2,0,0
"ALABAMA",2,2374063,46,2060063,822027,0,0,4,52000,3,262000,2060063,0,0,4,52000,3,262000,2374063,822027,47.5,47.5,0,2,2,47,47,2,16,0.5,0,1,0,0
"ALABAMA",2,1822487,17.5,1291923,398336,2,42910,4,114785,2,174445,1392514,3,226275,9,226275,2,174445,2032945,890143,28,28,0,2,1,28,28,1,8,1,0,1,0,0.05
"ALABAMA",2,2943925.73,34.33,2060627.78,301430.5,2,69261.21,10,399576.66,2,164460.61,2224160.08,1,69261.21,14.03,514230.42,2,164460.61,3233594.33,747090.98,37,37,0,2,1,36,36,1.5,13,1,0,1,0,0
"ALABAMA",6,1600072.67,15.58,1017804.98,229956.98,1,31307.84,4.5,274184.18,1.5,122475.72,1238459.59,1,31307.84,9.6,434534.3,1.5,122475.72,1993380.23,570479.63,24,24,0,1,2,24,24,1,9,1,0,0.5,0,0
"ALABAMA",2,2202971.95,22.63,1539060.18,352785.37,2,68282.37,4.65,297433.07,2.5,135308.88,1283308.61,2,68282.37,6.72,385796.07,2.5,135308.88,2419334.47,808872.92,25,25,0,1,0,25,25,1,7,1,0,0.5,0,0
"ALABAMA",2,3894572.19,56.79,2703212.92,856335.44,3,50711.84,4,317066.62,5,373455.64,2703212.92,5,85542.19,4,317066.62,5,373455.64,4141282.07,1847991.06,56.79,56.79,0,4,3,57,113,3,23,1,0,1,0,0
"ALABAMA",0,1083987.19,19.27,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,19.27,19.27,0,0,0,21,21,1,4,1,0,1,0,0
"ALABAMA",11,2964506,53.41,2540260,989251,1,18093,3.5,194769,3,211384,2739354,3,51516,3.5,194769,3,211384,3197023,1557596,59,59,0,8,2,59,54,2,36,1,0,1,0,0
